sample	compressor	size	noise	correct
Bye Bye Bye 043 _NSYNC No Strings Attached	gzip	1	1.0	False
Bye Bye Bye 043 _NSYNC No Strings Attached	lzma	1	1.0	False
Bye Bye Bye 043 _NSYNC No Strings Attached	bzip2	1	1.0	False
Crazy 036 Gnarls Barkley St. Elsewhere	gzip	1	1.0	False
Crazy 036 Gnarls Barkley St. Elsewhere	lzma	1	1.0	False
Crazy 036 Gnarls Barkley St. Elsewhere	bzip2	1	1.0	False
Ain't It Funny (feat. Ja Rule & Cadillac Tah) [Murder Remix] 086 Jennifer Lopez J to tha L-O! The	gzip	1	1.0	False
Ain't It Funny (feat. Ja Rule & Cadillac Tah) [Murder Remix] 086 Jennifer Lopez J to tha L-O! The	lzma	1	1.0	False
Ain't It Funny (feat. Ja Rule & Cadillac Tah) [Murder Remix] 086 Jennifer Lopez J to tha L-O! The	bzip2	1	1.0	False
Paralyzer 052 Finger Eleven Them Vs. You Vs. Me (Deluxe Edition)	gzip	1	1.0	False
Paralyzer 052 Finger Eleven Them Vs. You Vs. Me (Deluxe Edition)	lzma	1	1.0	False
Paralyzer 052 Finger Eleven Them Vs. You Vs. Me (Deluxe Edition)	bzip2	1	1.0	False
Closer 032 Ne-Yo Year of the Gentleman (Deluxe Edition)	gzip	1	1.0	False
Closer 032 Ne-Yo Year of the Gentleman (Deluxe Edition)	lzma	1	1.0	False
Closer 032 Ne-Yo Year of the Gentleman (Deluxe Edition)	bzip2	1	1.0	False
Whatcha Say 048 Jason Derulo Jason Derulo	gzip	1	1.0	False
Whatcha Say 048 Jason Derulo Jason Derulo	lzma	1	1.0	False
Whatcha Say 048 Jason Derulo Jason Derulo	bzip2	1	1.0	False
Beautiful Day 053 U2 All That You Can't Leave Behind (20th Anniversary Super Deluxe Edition)	gzip	1	1.0	False
Beautiful Day 053 U2 All That You Can't Leave Behind (20th Anniversary Super Deluxe Edition)	lzma	1	1.0	False
Beautiful Day 053 U2 All That You Can't Leave Behind (20th Anniversary Super Deluxe Edition)	bzip2	1	1.0	False
Bump, Bump, Bump (B2K and P. Diddy) 082 B2K B2K_ Greatest Hits	gzip	1	1.0	False
Bump, Bump, Bump (B2K and P. Diddy) 082 B2K B2K_ Greatest Hits	lzma	1	1.0	False
Bump, Bump, Bump (B2K and P. Diddy) 082 B2K B2K_ Greatest Hits	bzip2	1	1.0	False
Try Again 009 Aaliyah Romeo Must Die (Original Soundtrack)	gzip	1	1.0	False
Try Again 009 Aaliyah Romeo Must Die (Original Soundtrack)	lzma	1	1.0	False
Try Again 009 Aaliyah Romeo Must Die (Original Soundtrack)	bzip2	1	1.0	False
Lose Yourself 059 Eminem 8 Mile (Music from and Inspired By the Motion Picture)	gzip	1	1.0	False
Lose Yourself 059 Eminem 8 Mile (Music from and Inspired By the Motion Picture)	lzma	1	1.0	False
Lose Yourself 059 Eminem 8 Mile (Music from and Inspired By the Motion Picture)	bzip2	1	1.0	False
